last_name, first_name, second_name, date_of_birth, phone_number, start_date, role, departament
Нелидов,Тимур,Тимурович,1984-01-13,+12794608452,2011-07-13,back-end dev,back-end dev
Оболенский,Вячеслав,Генрихович,1996-12-18,+23443095651,2015-08-13,back-end dev,back-end dev
Антипин,Сергей,Кириллович,1993-10-23,+41295395456,2011-11-25,Administrator,Administrator
Амиреджибов,Сысой,Илариевич,1997-12-10,+82931311994,2019-06-24,back-end dev,back-end dev
Немирович,Христиан,Акакиевич,1980-12-26,+59954345238,2017-11-11,Administrator,Administrator
Аверкиев,Серафим,Егорьевич,1992-12-07,+51437130118,2009-03-01,back-end dev,back-end dev
Чернышёв,Фефил,Лаврович,1983-07-08,+29355779486,2008-08-02,front-end dev,front-end dev
Пономаренко,Матвей,Вуколович,1995-06-14,+54899861906,2008-05-02,back-end dev,back-end dev
Скопин,Ероним,Леонтьевич,1991-11-15,+63281577923,2019-08-10,front-end dev,front-end dev
Соковнин,Нонн,Андроникович,1992-10-17,+87725974457,2010-07-22,back-end dev,back-end dev
Левкович,Назарий,Кирсанович,1985-06-15,+18298225112,2013-03-08,back-end dev,back-end dev
Митусов,Владислав,Маратович,1991-06-02,+65911006831,2012-01-04,Administrator,Administrator
Владычин,Константин,Альфредович,1982-10-01,+40205457383,2008-07-27,back-end dev,back-end dev
Соломерецкий,Анастасий,Никодимович,2000-01-17,+29419692317,2009-01-05,back-end dev,back-end dev
Лужин,Флор,Зинонович,1988-07-08,+59540518297,2016-06-12,front-end dev,front-end dev
Васильковский,Аким,Данилович,1984-07-24,+12178763647,2012-04-26,back-end dev,back-end dev
Бобровский,Ждан,Викентьевич,1983-06-11,+14566874799,2019-06-08,front-end dev,front-end dev
Луцкевич,Власий,Михеевич,1992-06-09,+73709180774,2017-02-12,front-end dev,front-end dev
Бахтыгозин,Ангелий,Рэмович,1983-02-21,+31297030499,2012-12-25,front-end dev,front-end dev
Щепин,Алфей,Авенирович,2000-03-14,+56671951358,2018-12-18,Administrator,Administrator
Емелькин,Малахия,Тимурович,1999-07-19,+12314865694,2008-01-14,front-end dev,front-end dev
Юрлов,Северин,Велимирович,1984-02-01,+13231376791,2014-09-27,front-end dev,front-end dev
Леняков,Изяслав,Всеславович,1981-07-18,+16669257473,2015-07-19,front-end dev,front-end dev
Никольский,Евдоким,Мануйлович,1995-07-08,+55546076594,2012-01-22,back-end dev,back-end dev
Битяговский,Эмилиан,Акинфович,1982-06-25,+58326491045,2013-05-14,front-end dev,front-end dev
Мясной,Ананий,Эразмович,1998-07-06,+95939220885,2012-02-01,Administrator,Administrator
Гурченко,Акакий,Арефьевич,2000-10-16,+52731951252,2014-04-26,back-end dev,back-end dev
Шуклин,Фавстин,Гермогенович,1997-02-04,+55191128022,2017-06-18,front-end dev,front-end dev
Мичурин,Зосима,Любомирович,1986-01-02,+71970712933,2008-05-10,front-end dev,front-end dev
Цвирко,Лиодор,Всеволодович,1994-10-18,+74295752060,2013-07-12,front-end dev,front-end dev
Телешев,Модест,Данилович,2000-02-26,+97315091283,2018-09-26,front-end dev,front-end dev
